name,address,type,no_bedrooms,no_bathrooms,area,latitude,longitude,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
"Xanadu Residence 2","JVC District 13, Jumeirah Village Circle (JVC), Dubai","Apartment",2,2,1343,25.0571,55.2111,1400000,1350000,1300000,1250000,1200000,1150000,1100000,1050000,1000000,950000,900000
"Park Ridge Tower C","Park Ridge, Dubai Hills Estate, Dubai","Apartment",2,2,1002,25.0995,55.2760,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000
"Collective 2.0 Tower A","Collective 2.0, Dubai Hills Estate, Dubai","Apartment",1,1,743,25.0990,55.2770,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000,1350000,1300000
"Zada Tower","Business Bay, Dubai","Apartment",1,1,466,25.1841,55.2722,1050000,1020000,990000,960000,930000,900000,870000,840000,810000,780000,750000
"Azizi Riviera 36","Azizi Riviera, Meydan One, Meydan City, Dubai","Apartment",1,1,378,25.1786,55.3342,777000,760000,740000,720000,700000,680000,660000,640000,620000,600000,580000
"Terra Nova","Arabian Ranches, Dubai","Villa",5,6,5127,25.0456,55.2708,13950000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000
"Montage","Al Jaddaf, Dubai","Apartment",2,2,635,25.2212,55.3251,1100000,1080000,1060000,1040000,1020000,1000000,980000,960000,940000,920000,900000
"Binghatti Starlight","Dubai Healthcare City Phase 2, Al Jaddaf, Dubai","Apartment",2,2,1196,25.2215,55.3270,1727720,1700000,1670000,1640000,1610000,1580000,1550000,1520000,1490000,1460000,1430000
"Al Thamam 20","Al Thamam, Remraam, Dubai","Apartment",1,1,787,24.9292,55.2321,830000,810000,790000,770000,750000,730000,710000,690000,670000,650000,630000
"Binghatti Crest","JVC District 13, Jumeirah Village Circle (JVC), Dubai","Apartment",1,1,640,25.0571,55.2111,960000,940000,920000,900000,880000,860000,840000,820000,800000,780000,760000
"Esmeralda","Victory Heights, Dubai Sports City, Dubai","Villa",6,7,6744,25.0478,55.2211,9500000,9200000,8900000,8600000,8300000,8000000,7700000,7400000,7100000,6800000,6500000
"Azizi Arian","Downtown Jebel Ali, Jebel Ali, Dubai","Apartment",1,1,354,24.9857,55.0652,599000,590000,580000,570000,560000,550000,540000,530000,520000,510000,500000
"Forest City Tower","Majan, Dubai","Apartment",1,1,708,25.0902,55.3071,935000,920000,905000,890000,875000,860000,845000,830000,815000,800000,785000
"Jumeirah Park Homes","Jumeirah Park, Dubai","Villa",4,5,8147,25.0492,55.1801,16750000,16200000,15700000,15200000,14700000,14200000,13700000,13200000,12700000,12200000,11700000
"District 2","Jumeirah Park, Dubai","Villa",4,5,4689,25.0492,55.1801,11725000,11300000,10900000,10500000,10100000,9700000,9300000,8900000,8500000,8100000,7700000
"The Pulse Beachfront","The Pulse, Residential District, Dubai South, Dubai","Townhouse",3,4,2845,24.8897,55.1571,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000
"Deema","The Lakes, Dubai","Villa",4,5,4019,25.0812,55.1632,10750000,10400000,10050000,9700000,9350000,9000000,8650000,8300000,7950000,7600000,7250000
"Boulevard Point","Downtown Dubai, Dubai","Apartment",3,4,4915,25.1972,55.2744,8975000,8700000,8450000,8200000,7950000,7700000,7450000,7200000,6950000,6700000,6450000
"Barari Hills Residence","Majan, Dubai","Apartment",2,3,1833,25.0902,55.3071,1135537,1110000,1085000,1060000,1035000,1010000,985000,960000,935000,910000,885000
"La Voile 1","La Voile, Port de La Mer, La Mer, Jumeirah, Dubai","Apartment",2,2,873,25.2416,55.2532,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000
"Azizi Riviera 23","Azizi Riviera, Meydan One, Meydan City, Dubai","Apartment",1,1,790,25.1786,55.3342,1295000,1270000,1245000,1220000,1195000,1170000,1145000,1120000,1095000,1070000,1045000
"Belgravia Square","JVC District 14, Jumeirah Village Circle (JVC), Dubai","Apartment",1,1,577,25.0550,55.2090,1400000,1370000,1340000,1310000,1280000,1250000,1220000,1190000,1160000,1130000,1100000
"Binghatti Aquarise","Business Bay, Dubai","Apartment",2,2,948,25.1841,55.2722,1850000,1820000,1790000,1760000,1730000,1700000,1670000,1640000,1610000,1580000,1550000
"The Address Downtown","Downtown Dubai, Dubai","Apartment",2,3,1800,25.1972,55.2744,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Marina Gate 1","Dubai Marina, Dubai","Apartment",3,4,1950,25.0800,55.1400,5200000,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000
"The Palm Tower","Palm Jumeirah, Dubai","Apartment",2,3,1200,25.1122,55.1386,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Burj Khalifa","Downtown Dubai, Dubai","Apartment",3,4,2100,25.1972,55.2744,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"One JBR","Jumeirah Beach Residence, Dubai","Apartment",4,5,3200,25.0805,55.1372,18000000,17500000,17000000,16500000,16000000,15500000,15000000,14500000,14000000,13500000,13000000
